Parallelism 14nm 10nm 7nm 5nm 3nm 2nm 1nm	
RC_N64_k1_k16_d4_l1 41.31364232 43.89238387 42.66486364 46.51378277 49.09693369 54.24904844 59.39240354
RC_N64_k1_k32_d2_l1 48.43137243 51.03691227 49.7770834 53.63229554 56.21744153 61.36386627 66.50800378
RC_N64_k1_k64_d1_l1 61.2214221 63.77729224 62.55943076 66.36270035 68.95726003 74.1443052 79.32177763
RC_N64_k2_k16_d2_l1 41.58342582 44.17166357 42.93624391 46.78023732 49.36338824 54.53349931 59.70187966
RC_N64_k2_k32_d1_l1 48.7965912 51.40213104 50.14230217 53.99751431 56.5826603 61.75676165 66.92913053
RC_N64_k4_k16_d1_l1 42.14285095 44.71379414 43.54464657 47.36893709 49.952088 55.12219908 60.29057942
